"title","description","stars","review_count","address","addr_zip","phone/country_code","phone/number","phone/role","url"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","5","1","Vinohradská 2828/151, 130 00  Praha, Žižkov","13000","420","774444878","Mobil","https://www.ovocnysvetozor.cz"
"Choco Loves Coffee","Jsme místo s jedinečnou atmosférou a koncepcí kombinující kavárnu a prodejnu v jednom. U nás objevíš mnohem víc než jen skvělou kávu, lahodné dobroty a čokolády z celého světa. Jsme oáza klidu v samotném srdci města, kde se snadno uvolníš a ztratíš pojem o čase. Těšíme se na Tvojí návštěvu.","5","2","Jugoslávská 662/27, 120 00  Praha, Vinohrady","12000","420","224284325","Telefon",
"Ivana Hubená","Vlastní výroba a prodej klasických máslových, šlehačkových i odlehčených dortů, zákusků i minizákusků. Nabídka čokolád, sušenek, bonbónů, bonboniér, alkoholických značkových nápojů, vín i limonád a obložených chlebíčků. Po telefonické domluvě je možné zákusky či dort doručit na vybranou adresu.","5","13","Podolská 134/29, 147 00  Praha, Podolí","14700","420","777270555","Mobil","https://www.facebook.com/cukrarstvi.u.michala"
"Jitka Kolárová","Provozujeme cukrárnu s možností posezení pro 10 hostů. Vyrábíme zákusky a dorty včetně chlebíčků, obložených mís a nápojů. Nabízíme šlehačkové, krémové, ovocné, svatební a speciální dorty. Poskytujeme cateringové služby.","-1","0","Jemnická 313/15, 140 00  Praha, Michle","14000","420","739285698","Mobil","http://www.dortiky.cz"
"Blanka Janulíková","Provoz cukrárny.","4","3","Xaveriova 1941/56, 150 00  Praha, Smíchov","15000","420","777242942","Mobil",
"Renáta Strejcová","Provozujeme cukrárnu. Nabízíme svatební či narozeninové dorty. Zajišťujeme dorty na objednávku. V nabídce dále naleznete tradiční zákusky, jednohubky i obložené chlebíčky. Na objednávku Vám také připravíme dárkové koše či balíčky.","5","2","Klapkova 42/5, 182 00  Praha, Kobylisy","18200","420","284690817","Telefon","http://www.cukrarnaunovaku.cz"
"IF CHOCOLATE","Provoz kavárny s cukrárnou. Možnost on-line objednání zákusků a dortů.","4.5","18","U Sovových mlýnů 501/7, 118 00  Praha, Malá Strana","11800",,,,"https://ivetafabesova.cz"
"MAKSER","Prodáváme zmrzlinu. Nabízíme smetanové, sorbetty ze sezonního ovoce a jedinečné jako například - parmazánové, dýňové, rýžové, rebarborové, bezové, avokádové, olivové, levandulové, a kopřivové zmrzliny.","4.5","12","Bělohorská 1390/50, 169 00  Praha, Břevnov","16900","420","257224395","Telefon","https://angelato.cz"
"Petra Barkmanová","Kavárna/cukrárna/pekárna, kde si na cestu do práce, školy nebo jen na procházku můžete zakoupit čerstvé pečivo, obložené housky, chlebíčky, zákusky, výbornou kávu, domácí limonádu, přes 20 druhů zmrzliny. Také si zde můžete objednat na oslavu dort, minizákusky, miniřízečky, obložené mísy aj.","4.5","1","Voskovcova 1035/22, 152 00  Praha, Hlubočepy","15200","420","723063733","Telefon","http://petitbarrandov.cz"
"Karolína Průchová","Provoz kavárny. Dětské hřiště. Máme zahradu. Nabízíme dezerty, dorty, zákusky nebo třeba víno.","-1","0","Chuchelská 6/1, 143 00  Praha, Modřany","14300","420","777080986","Mobil","https://www.vinicemodrany.cz"
"ZELA","Provozujeme cukrárnu, nabízíme různé dorty a zákusky.","4.5","4","Veronské nám. 403, 109 00  Praha, Horní Měcholupy","10900",,,,"https://zelenkovacukrarna.cz"
"Pražská čokoláda","Provoz kavárny s nabídkou kávy z české pražírny La Bohéme, horké čokolády, domácích limonád, freshe, kácovského piva a vína z Velkých Pavlovic. Dále nabízíme vegetariánské a veganské menu. Možnost jídla s sebou.","5","2","Nerudova 225/44, 118 00  Praha, Malá Strana","11800","420","778736363","Mobil",
"Play Space","Nabízíme sladké Bubble Vaffle do kornoutu, Bubble-Tea, lívance.","5","9","Evropská 166/205, 161 00  Praha, Liboc","16100","420","734678549","Telefon","https://www.facebook.com/profile.php"
"Zařízení služeb pro Ministerstvo vnitra","Provoz cukrárny. Prodej vlastních zákusků a sladkostí. Výroba svatebních dortů a dezertů pro slavnostní hostiny a další akce. Nabízíme posezení u kávy či zmrzlinového poháru.","4.5","2","Na Pankráci 1623/72, 140 00  Praha, Nusle","14000","420","974849702","Telefon","https://www.zsmv.cz/"
"SERFY Czech","Jsme rodinný podnik, který se věnuje přípravě poctivé zmrzky. Každý den si u nás můžete vybrat až z deseti druhů zmrzliny, které pravidelně obměňujeme.","5","12","náměstí Junkových 2870/3, 155 00  Praha, Stodůlky","15500","420","725726727","Telefon","https://www.lazmrzka.cz"
"Don Bakery","Provozujeme cukrárnu. Nabízíme dorty, kusové dezerty, slané koláče a kávu.","-1","0","Lidická 841/9, 150 00  Praha, Smíchov","15000","420","776409026","Mobil",
"PURO GELATO","Provozujeme cukrárnu. Nabízíme GELATO dle vlastních receptů, GELATO poháry, mléčné koktejly, sorbety, čerstvé dorty a zákusky, přírodní ovocné šťávy a italskou Rainforest kávu a hořkou čokoládu.","5","10","Na Hrobci 410/1, 128 00  Praha, Nové Město","12800","420","721438209","Mobil","https://purogelato.cz"
"BENEA","Poskytujeme výrobu a prodej pekařských i cukrářských produktů. Nabízíme běžné a cereální pečivo, koblihy, koláče, svatební koláčky, minizákusky, dorty, řezy, cukrářské polotovary a chléb.","4.5","2","Nitranská 1012/26, 130 00  Praha, Vinohrady","13000","420","222515247","Telefon","https://www.benea.cz/"
"ANFILOD s.r.o.","Sháníte dobrý dort na objednávku v Praze? My vám v tom pomůžeme! Vyrábíme krásně zdobené dorty na objednávku v Praze pro malé i velké oslavy všeho druhu — narozeninové dorty pro muže, narozeninové dorty pro děti, narozeninové dorty pro ženy, svatební dorty.","5","7","Čestmírova 145/8, 140 00  Praha, Nusle","14000","420","739157981","Telefon","http://www.sweetcakes.cz"
"Pekařství Moravec","Provozujeme cukrárnu. Nabízíme prodej zmrzliny.","4","1","Ratibořická 2325/36, 193 00  Praha, Horní Počernice","19300","420","776715599","Mobil","http://www.pekarstvimoravec.cz"
"Ivana Korecká","Nabídka různých druhů káv, dezertů, chlebíčků a doplňkového sortimentu. Možnost posezení na zahrádce.","4","8","Zbraslavské nám., 156 00  Praha","15600","420","777130366","Mobil",
"Centrum MARTIN","Provozujeme kavárnu. V nabídce káva a limonády z Pražírny Drahonice, domácí zákusky.","5","3","Sokolovská 29/75, 186 00  Praha, Karlín","18600","420","725992559","Mobil","https://www.centrummartin.cz/treninkova-pracoviste/cafe-martin-karlin/"
"Dagmar Tylčerová","Cukrárna a pekárna, kde najdete vše moderní, krásné, svěží a chutné.","-1","0","Milešovská 1609/8, 130 00  Praha, Vinohrady","13000","420","773504183","Telefon","http://www.sugarmama.cz"
"Iryna Jamborova","Jsme rodinná cukrárna. Vyrábíme pro vás nejrůznější dorty a zákusky podle osvědčených receptů z celého světa.","4.5","9","Na Petřinách 310/82, 162 00  Praha, Veleslavín","16200","420","775033564","Mobil","http://www.sladkadilna.cz"
"Michal Appl","Vyrábíme kvalitní domácí dorty, koláče, Cheese Cake, zákusky, rolády. Dále bezlepkové dorty, svatební dorty, narozeninové dorty, dorty na objednávku, bábovky, sladký catering.","-1","0","Francouzská 563/72, 101 00  Praha, Vinohrady","10100","420","607277688","Mobil","https://www.kavarnaslagr.cz"
"Jana Anderlová","Provozujeme cukrárnu s nabídkou zákusků, chlebíčků, obložených baget, teplých i studených nápojů. Nabízíme klasické, svatební i atypické dorty. Připravujeme chuťovky a obložené mísy. Zajišťujeme rozvoz zboží po Praze v chladicích vozech.","5","3","Nuselská 124/29, 140 00  Praha, Nusle","14000","420","241742054","Telefon","https://www.facebook.com/cukrarnaLuja"
"ZELA","Provozujeme cukrárnu, nabízíme různé dorty a zákusky.","4.5","3","Topolová 2915/16, 106 00  Praha, Záběhlice","10600","420","702088384","Mobil","https://zelenkovacukrarna.cz"
"Donuterie","Nabízíme čerstvé donuty, domácí limonády, kávu a mnoho dalšího. Rádi napečeme i na Vaši oslavu.","5","6","Náprstkova 215/9, 110 00  Praha, Staré Město","11000","420","733392789","Mobil","https://www.donuterie.eu"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","5","Chlumecká 765/6, 198 00  Praha, Černý Most","19800","420","774444869","Mobil","https://www.ovocnysvetozor.cz"
"Nicola Škorpilová","Elegantní kavárna v centru Prahy. Nabízíme vynikající poctivé dorty z kvalitních surovin a výběrovou kávu.","-1","0","Na Bojišti 1989/8, 120 00  Praha, Nové Město","12000","420","774066784","Mobil","https://www.facebook.com/QueenCafePraha"
"BAR production CZ","Provoz kavárny a cukrárny.","4","12","náměstí Dr. Václava Holého 1059/17, 180 00  Praha, Libeň","18000","420","602464417","Telefon",
"Staropražské tradiční trdlo","Prodej tradičního trdelníku.","-1","0","Na Příkopě 957/23, 110 00  Praha, Staré Město","11000","420","608611823","Mobil","http://www.trdlo.com"
"Roman Janeček","Výroba a prodej minidezertů.","4.5","2","Pštrossova 198/23, 110 00  Praha, Nové Město","11000","420","777083218","Telefon","https://www.veneckyjanecek.cz"
"PURO GELATO","Provozujeme cukrárnu. Nabízíme GELATO dle vlastních receptů, GELATO poháry, mléčné koktejly, sorbety, čerstvé dorty a zákusky, přírodní ovocné šťávy a italskou Rainforest kávu a hořkou čokoládu.","5","2","Thámova 289/13, 186 00  Praha, Karlín","18600","420","778977792","Mobil","https://purogelato.cz"
"Mediterranean Trade company s.r.o.","Provoz kavárny a cukrárny.","-1","0","Maňákova 813/14, 198 00  Praha, Černý Most","19800",,,,
"MAISON cafe","Provoz kavárny. Nabízíme domácí zmrzlinu a italskou kávu.","5","3","Žitomírská 585/37, 101 00  Praha, Vršovice","10100","420","605989559","Telefon",
"SALE - PRAHA","Provozujeme kavárnu a cukrárnu s nabídkou různých druhů káv, zákusků, dortů, palačinek a zmrzlinových pohárů. V nabídce máme klasické, svatební, dětské i exkluzivní dorty, šlehačkové, čokoládové, marcipánové i ovocné. Prodáváme také různé druhy vín, nealkoholické i míchané nápoje.","5","1","Melantrichova 477/20, 110 00  Praha, Staré Město","11000","420","224214152","Telefon","https://www.latorta.eu"
"Kateřina Matoušková","V historické části města provozujeme kavárnu. Připravujeme pro Vás jen kvalitní kávu také z Blovické pražírny. Milovníkům vína přineseme víno od vinaře roku 2020 Milana Sůkala z Nového Poddvorova.","5","2","Anenská 188/3, 110 00  Praha, Staré Město","11000","420","731052667","Telefon","https://uzabradli.cz"
"Nostro","Denně čerstvě dělané donuty a výborná italská káva.","5","7","Vinohradská 1246/55, 120 00  Praha, Vinohrady","12000","420","704784600","Mobil",
"Honey Moon","Provoz kavárny s nabídkou kávy a dezertů. Prodej dezertů Marlenka.","-1","0","Uhelný trh 526/6, 110 00  Praha, Staré Město","11000","420","773728827","Mobil","https://honeymooncz.com"
"Zuzana Heroldová","Provoz cukrárny.","5","2","Morseova 253/1, 109 00  Praha, Petrovice","10900","420","274867374","Telefon",
"DonPablo s","Provozujeme cukrárnu s kavárnou.","-1","0","Libušská 394/227, 142 00  Praha, Libuš","14200","420","731154010","Mobil","http://www.donpablo.cz"
"PASSION CHOCOLAT","Provozování cukrárny a kavárny. Výroba dortů, čokoládových bonbónů, francouzského pečiva a svatebních dortů. Pořádáme cukrářské kurzy.","4","11","Karmelitská 376/20, 118 00  Praha, Malá Strana","11800","420","603333338","Mobil","https://cukrarnatropez.cz"
"SILÁK","Provoz cukrárny. V cukrárně připravujeme skoro 50 různých zákusků a pečených produktů.","5","2","Dukelských hrdinů 232/36, 170 00  Praha, Holešovice","17000","420","737666510","Mobil","http://uhrdinu.cz"
"SUGAR CUBE s.r.o.","Vyrábíme exkluzivní svatební, dětské dorty a speciální firemní dorty atd. Dorty vyrábíme jen z kvalitních surovin bez éček. Závozy naším chladícím vozem jsou samozřejmostí.","4","12","Vinohradská 2022/125, 130 00  Praha, Vinohrady","13000","420","273130574","Telefon","https://www.erhartovacukrarna.cz"
"Barbora Mašterová","Provozujeme cukrárnu. Nabízíme narozeninové dorty, zmrzlinu, cukroví, zákusky či obložené bagety.","4.5","11","Mladoboleslavská 475, 197 00  Praha, Kbely","19700","420","776213246","Mobil","https://www.facebook.com/cukrarnaavanti"
"DM2019","Provozujeme kavárnu a cukrárnu. Nabízíme nejrůznější italské dezerty, dorty, zákusky, ale také slané občerstvení, např. tousty a sendviče, croissanty. K pití nabídneme italskou kávu a víno.","5","5","Italská 212/5, 120 00  Praha, Vinohrady","12000","420","727989949","Telefon","https://www.dolcemente-vinohrady.cz"
"Supernova M&M","Provoz kavárny s výrobou vlastních croissantů a dalších sladkých a slaných produktů.","4.5","9","Na zátorách 1625/1, 170 00  Praha, Holešovice","17000","420","725443448","Mobil","https://supernovabakehouse.cz"
"Food House","Provoz cukrárny. Nabídka cukrářských a lahůdkářských výrobků.","-1","0","Přístavní 531/24, 170 00  Praha, Holešovice","17000","420","720981486","Mobil","https://www.facebook.com/Avion-Sweet-Factory"
"Italská cukrárna Amarena","Provozujeme italskou cukrárnu dlouhodobě působící v České republice. Nabízíme dorty, zákusky, 18 druhů zmrzliny a teplé i studené nápoje. Všechny suroviny k výrobě zákusků, dortů, dezertů a zmrzliny jsou kvalitní a vlastní receptury.","-1","0","Novodvorská 1800/136, 142 00  Praha, Braník","14200","420","608340020","Mobil","https://www.cukrarnaamarena.cz"
"Květuše Malá","Nabízíme čerstvé zákusky, celé dorty na objednávku, chlebíčky, točenou zmrzlinu, italskou kávu, mléčné koktejly, poháry, domácí limonády či domácí ledové čaje. Možnost posezení na zahrádce.","4.5","13","náměstí Jiřího z Lobkovic 2307/15, 130 00  Praha, Vinohrady","13000","420","702605988","Mobil",
"Jindřiška Literová","Provozujeme cukrárnu. Zajišťujeme kompletní cukrářskou výrobu a prodej cukrovinek. Vyrábíme zákusky, dorty, atypické i svatební dorty, minidezerty, koláčky, vánoční čajové pečivo a jiné.","-1","0","Na Musilech 349/26, 142 00  Praha, Libuš","14200",,,,
"futurista","Celodenní brunch, neotřelé chlebíčky, populární dezerty, kávu a spoustu grab & go sortimentu. To vše v krásné rondokubistické budově Legiobanky od světoznámého architekta Josefa Gočára. Otevíráme hned ráno a když to počasí dovolí, můžete si jídlo i piti vychutnat na venkovní zahrádce.","3.5","4","Na Poříčí 1046/24, 110 00  Praha, Nové Město","11000","420","720953819","Telefon","https://cernamadona.com/archa"
"SERFY Czech","Jsme rodinný podnik, který se věnuje přípravě poctivé zmrzky. Každý den si u nás můžete vybrat až z deseti druhů zmrzliny, které pravidelně obměňujeme.","5","5","Petržílkova 2835/1a, 158 00  Praha, Stodůlky","15800","420","725726727","Mobil","https://www.lazmrzka.cz"
"SILVA INVEST","Provozujeme čokoládovnu s nabídkou ručně vyrobené čokolády, pralinek, figurek a darkových krabic.","4.5","4","Janovského 919/36, 170 00  Praha, Holešovice","17000","420","222964467","Telefon","http://www.co-xo.cz"
"Zámecká pekárna s.r.o.","Zakázková výroba dle domácích tradičních receptů. Nabízíme: svatební koláče, šátečky, žitný chleba, mazanec, sváteční mazanec, vánoční cukroví, moravské koláče dvojctihodné, svatební oznámení. Dále bezlepkové kokosky, mafiny.","-1","0","Doudova 154/22, 147 00  Praha, Podolí","14700","420","721515151","Mobil","https://www.zamecka-pekarna.cz"
"Bifé","Jsme malá rodinná kavárna, kde nabízíme pouze své vlastní cukrářské výrobky, obložené chleby, sendviče, polévku a od 7:30 do 11:00 podáváme snídaně.","-1","0","Elišky Přemyslovny 451, 156 00  Praha, Zbraslav","15600","420","778005885","Mobil","https://www.facebook.com/bifezbraslav"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","2","Havlíčkova 1682/15, 110 00  Praha, Nové Město","11000","420","774444873","Mobil","https://www.ovocnysvetozor.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","3","Plzeňská 233/8, 150 00  Praha, Smíchov","15000","420","778444124","Telefon","https://www.ovocnysvetozor.cz"
"SUGAR CUBE s.r.o.","Vyrábíme pro vás exkluzivní zákusky a dorty. Možnost objednání celých dortů s vyzvednutím na pobočce.","5","2","Vodičkova 699/28, 110 00  Praha, Nové Město","11000","420","777227248","Mobil","https://www.erhartovacukrarna.cz"
"IMOBA","Provozujeme kavárnu. K dispozici je Wi-Fi připojení, nekuřácký prostor a salonek. Nabízíme minichlebíčky, sendviče, dezerty a bagety. Možnost pořádání oslav, večírků, pracovních schůzí a podobně.","5","1","Babická 2329/2, 149 00  Praha, Chodov","14900","420","272192273","Mobil","https://www.restauracecolumna.cz"
"Pavel Sedláček","Naše cukrárna Vám od roku 2007 nabízí denně více než 30 druhů vynikajících a kvalitních zákusků, chlebíčky, celé dorty na objednávku a mnoho dalších dobrot za rozumné ceny. Především výbornou Fair trade kávu Puro. Dále nabízíme více než 10 druhů horkých nápojů, nealko, víno i lihoviny.","5","1","Koněvova 1519/165, 130 00  Praha, Žižkov","13000","420","222587704","Mobil","https://www.cafeacukrarna.cz"
"Hájek & Hájková","Naše cukrárna nabízí velký výběr ovocných a šlehačkových dortů, chlebíčky, bagety, mléčné koktejly se zmrzlinou, čerstvé ovocné šťávy, točenou jahodovo-banánovou a vanilkovou zmrzlinu, kopečkovou zmrzlinu. Dodáváme i do kaváren a cukráren v okolí.","3.5","15","Nádražní 762/32, 150 00  Praha, Smíchov","15000","420","730150839","Telefon","https://www.cukrarna-hajek-hajkova.cz"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","4.5","3","Nuselská 133/134, 140 00  Praha, Michle","14000","420","774444846","Mobil","https://www.ovocnysvetozor.cz"
"Sladká cesta","Naše cukrárna, zaměřující se na výrobu a prodej jedinečných zákusků, které připravujeme s marmeládami a korpusy námi vyrobenými.","4.5","7","Jilská 451/20, 110 00  Praha, Staré Město","11000","420","739584480","Telefon","http://sladkacesta.cz"
"SPORT Hostivař","Provozujeme cukrárnu. Nabízíme zmrzlinu nebo zákusky. K dispozici je venkovní terasa a dětské hřiště.","4.5","1","U Golfu 565, 109 00  Praha, Horní Měcholupy","10900","420","777292818","Mobil","http://www.golfhostivar.cz/co-nabizime/cukrarna"
"WAF-WAF","Provoz creperie s nabídkou crepes a waffles.","-1","0","náměstí Republiky 1078/1, 110 00  Praha, Nové Město","11000","420","725745898","Mobil","https://www.waf-waf.cz"
"Statistrade","Provoz nekuřácké kavárny v unikátních památkově chráněných prostorech budovy bývalé Legiobanky nabízí stylové a příjemné prostředí pro více než 80 hostů v interiéru kavárny a dalších 40 míst na venkovní předzahrádce, čímž vytváří vhodný prostor i na pronájem pro školení, oslavy a další akce.","-1","0","Na Poříčí 1046/24, 110 00  Praha, Nové Město","11000","420","727963540","Telefon","https://www.facebook.com/archabaristacafe"
"Cukrářství Viktoria","Nabízíme dorty, zákusky, pralinky, bonboniéry, čokoládové figurky, minideserty, kavárenské dorty, kolekce nebo zmrzlinu.","4.5","10","V zákopech 341/2, 142 00  Praha, Písnice","14200","420","605464092","Mobil","https://cukrarstvi-viktoria.cz"
"ZELA","Provozujeme cukrárnu, nabízíme různé dorty a zákusky.","5","2","Koněvova 1703/132, 130 00  Praha, Žižkov","13000","420","702073544","Mobil","https://zelenkovacukrarna.cz"
"PURO GELATO","Provozujeme cukrárnu. Nabízíme GELATO dle vlastních receptů, GELATO poháry, mléčné koktejly, sorbety, čerstvé dorty a zákusky, přírodní ovocné šťávy a italskou Rainforest kávu a hořkou čokoládu.","-1","0","Vítězné náměstí 578/3, 160 00  Praha, Dejvice","16000",,,,"https://purogelato.cz"
"Centrum MARTIN","Provozujeme kavárnu s nabídkou zákusků, pudingů, panini atd. Nabízíme vlastní praženou kávu (Pražírna Drahonice), domácí sirupy a výborné, taktéž domácí, dezerty. K dispozici je připojení k WiFi a dětský koutek. Káva je podávaná v šálcích vyrobených v chráněné dílně.","4","3","Lupáčova 805/10, 130 00  Praha, Žižkov","13000","420","724028025","Telefon","https://www.a-mano.cz"
"PPF Gastro","Nově otevřená kavárna se vzdušným interiérem. Menu, které dává na výběr ze snídaňových specialit, salátového baru a celodenní nabídky, je pod taktovkou člena českého národního kuchařského týmu Petra Vláska. O dezerty a croissanty domácí výroby se stará šefcukrářka Ilona Tunková.","4","4","Evropská 2690/17, 160 00  Praha, Dejvice","16000","420","224174122","Telefon","https://cafesofa.cz"
"Luboš Schafferhans","Provozujeme kavárnu a cukrárnu. Nabízíme kávu, čaje, zákusky, chlebíčky a toasty. K dispozici je WiFi připojení. Možnost posezení na venkovní zahrádce.","5","6","Severovýchodní II 553/2, 141 00  Praha, Záběhlice","14100","420","604615375","Mobil","https://www.facebook.com/Cappuccino-caf%C3%A9-Spo%C5%99ilov-278974508837428/"
"Marcel Kunay","Provozujeme kavárnu. Nabízíme kávu Manaresi, čaje Ronnenfeld, mošt, čerstvé cheesecaky, dorty, snídaně, obědy, večeře a jídla s sebou.","5","2","Verdunská 627/11, 160 00  Praha, Bubeneč","16000","420","220515254","Telefon",
"Michal Bláha","V dlouho opuštěných prostorech po bývalé samoobsluze uprostřed pražských Hlubočep jsme vybudovali kavárnu s cukrárnou, která vám nabídne jak posezení v příjemném prostředí, kvalitní zákusky a dorty, tak třeba kávu s sebou na vycházce do Prokopského údolí.","4.5","12","Slivenecká 77/1, 152 00  Praha, Hlubočepy","15200","420","606519478","Mobil","https://www.cukrarnahlubocepy.cz"
"Sun Dream","V Emilly café denně pečeme desítky čerstvých zákusků, vyrábíme domácí pomazánky, některé druhy bylinek a zeleniny vozíme z vlastní zahrádky a pečlivě se vyhýbáme polotovarům i nezdravým chemickým přísadám.","4.5","1","Bělohorská 724/134, 169 00  Praha, Břevnov","16900","420","220511205","Telefon",
"PROFLUID Controls","Provozujeme cukrárnu-kavárnu s nabídkou dezertů francouzského typu a nápojů. Je možné platit platebními kartami a také přijímáme stravenky.

Další služby: Wi-Fi, Platba kartou, Zahrádka, Parkoviště, Bezbariérové, Wolt, Bolt","5","3","Drahobejlova 2473/40, 190 00  Praha, Libeň","19000","420","724414555","Mobil","https://fairytalebakery.cz"
"Eva Žežulková","Výroba dortů, vánočního cukroví a svatebních koláčků. Možnost posezení. Nabídka klasických, ovocných, svatebních, dětských i speciálních dortů.","4.5","12","Hovorčovická 1676/28, 182 00  Praha, Kobylisy","18200","420","284685169","Telefon","https://www.cukrarnauhaje.cz"
"Staropražské tradiční trdlo","Prodej tradičního trdelníku.","-1","0","Na Příkopě 390/5, 110 00  Praha, Staré Město","11000","420","608611823","Mobil","http://www.trdlo.com"
"Hájek & Hájková","Naše cukrárna nabízí velký výběr ovocných a šlehačkových dortů, chlebíčky, bagety, mléčné koktejly se zmrzlinou, čerstvé ovocné šťávy, točenou jahodovo-banánovou a vanilkovou zmrzlinu, kopečkovou zmrzlinu. Dodáváme i do kaváren a cukráren v okolí.","1.5","2","Střelničná 1660/31, 182 00  Praha, Kobylisy","18200","420","773704324","Telefon","https://www.cukrarna-hajek-hajkova.cz"
"ART & ORGANIC","Provozujeme cukrárnu.","-1","0","Malostranské náměstí 265/6, 118 00  Praha, Malá Strana","11800",,,,
"Kristýna Kopecká","Provozujeme cukrárnu. Nabízíme domácí zákusky, sušenky, buchty i bábovky. Pečeme cukroví a dorty dle Vašeho přání. Vyrábíme vlastní zmrzlinu.","4.5","13","Kladenská 421/27, 160 00  Praha, Vokovice","16000","420","607010723","Mobil","http://mucenka.cz"
"Cayamant Corp","Nabízíme čerstvé pečivo, zákusky, dorty, koláče, točené víno, kávu, čaj, pizzu, párek v rohlíku a mnoho dalších dobrot.","-1","0","Vršovická 839/44, 101 00  Praha, Vršovice","10100","420","608822212","Telefon",
"365-7-24.cz","Jsme výhradně česká firma se sídlem a výrobnou v Plzni. Naše pražské prodejny dortů SiCAKE – Svět dortů jsou prvním cakeshopem svého druhu v Česku. Nabízíme největší výběr vlastnoručně modelovaných dortů, které vyrábíme na smetanovém základu, z kvalitních surovin dle vlastních receptur.","-1","0","Veselská 663, 199 00  Praha, Letňany","19900","420","724363933","Telefon","http://www.sicake.cz"
"Vyšehrad 2000","Provozujeme secesní kavárnu s nabídkou jídel české i mezinárodní kuchyně, alkoholických, nealkoholických a teplých nápojů. K dispozici je zahrádka. Nabízíme prostory pro pořádání společenských akcí včetně zajištění kompletního servisu. Máme pestrou nabídku domácích dezertů přímo z naší cukrárny.","3.5","10","náměstí Republiky 1090/5, 110 00  Praha, Staré Město","11000","420","222002763","Telefon","http://www.kavarnaod.cz"
"AVANERO","Provozujeme kavárnu s cukrárnou.","2","1","Jiřská 11/6, 119 00  Praha, Hradčany","11900","420","608839836","Mobil","https://ippacafe.cz/pobocky/cafe-prazsky-hrad"
"Italská cukrárna Amarena","Provozujeme italskou cukrárnu dlouhodobě působící v České republice. Nabízíme dorty, zákusky, 18 druhů zmrzliny a teplé i studené nápoje. Všechny suroviny k výrobě zákusků, dortů, dezertů a zmrzliny jsou kvalitní a vlastní receptury.","-1","0","Veselská 663, 199 00  Praha, Letňany","19900","420","221742400","Telefon","https://www.cukrarnaamarena.cz"
"Hana Andělová","Nabídka zákusků, zmrzlinových pohárů, kávy, cukrovinek i chlebíčků. Na objednávku celé dorty.","4.5","7","Pelzova 1513, 156 00  Praha, Zbraslav","15600","420","725758606","Mobil",
"Karel Martínek","Vyrábíme dorty všech druhů a velikostí, minidezerty a vánoční cukroví. Nabízíme dorty dětské, svatební, šlehačkové, ovocné, máslové, sportovní a speciální. Zajišťujeme rozvoz.","5","2","Drahobejlova 1308/2, 190 00  Praha, Libeň","19000","420","733198982","Mobil","http://www.karlikovy-dorty.cz"
"MAKSER","Prodáváme zmrzlinu. Nabízíme smetanové, sorbetty ze sezonního ovoce a jedinečné jako například - parmazánové, dýňové, rýžové, rebarborové, bezové, avokádové, olivové, levandulové, a kopřivové zmrzliny.","4.5","7","Dejvická 278/24, 160 00  Praha, Dejvice","16000","420","777787233","Mobil","https://angelato.cz"
"Helen´s coffee","Rádi vás uvítáme v naší rodinné kavárně, která se nachází kousek od centrálního parku. Máme vynikající výběrovou kávu, výborné dorty, čaje, horké čokolády, vína, piva z minipivovarů, domácí polévky a snídaně. Každou neděli také speciální dobroty jako vafle, lívance či burgery.","5","18","Harmonická 1384/11, 158 00  Praha, Stodůlky","15800","420","604973772","Mobil","http://www.helenscoffee.cz"
"Cukrář Skála","Jsme továrna na sladkosti. Můžete si u nás objednat dorty na zakázku dle vašich chutí a představ. Děláme dorty svatební, narozeninové, dětské a mnoho dalších pro různé příležitosti. Naleznete u nás velký výběr zákusků, koláčů, zmrzlin, pralinek a jiných.","4.5","8","Dlouhá 727/39, 110 00  Praha, Staré Město","11000","420","220912527","Telefon","https://www.cukrarskala.cz/"
"cafe original","Nabídka zákusků, čajů, kávy z vlastní pražírny a jiných nealkoholických nápojů. K dispozici je WiFi připojení, venkovní zahrádka. Doporučujeme udělat rezervaci.","4.5","24","Jana Zajíce 975/7, 170 00  Praha, Bubeneč","17000","420","732938046","Mobil","http://www.alchymista.cz"
"Anděl back","Jsme řemeslná pekárna a cukrárna s vlastní výrobnou. Všechny naše chleby jsou pečeny z přírodního kvásku. V naší prodejně najdete každý den čerstvé pečivo, zákusky a chlebíčky. Přijďte si k nám zpříjemnit den.","5","4","Trousilova 1064/4, 182 00  Praha, Kobylisy","18200","420","233557744","Telefon","http://www.andelback.cz"
