"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Cafe La Torta - Cukrárna Zlatá konvice","4.1","214","Melantrichova 477","Staré Město",,"CZ","http://www.latorta.eu/","+420 224 214 152","Kavárna / Čajovna","https://www.google.com/maps/place/Cafe+La+Torta+-+Cukr%C3%A1rna+Zlat%C3%A1+konvice/@50.0863618,14.4207438,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94e94ac25187:0xc33439b124708ddb!8m2!3d50.0863618!4d14.4207438!16s%2Fg%2F11b6dg8r43?hl=cs&entry=ttu"
"Karlovarské cukrářství","5","14","nám. Bořislavka","Praha 6",,"CZ","https://www.karlovarskecukrarstvi.cz/",,"Cukrárna","https://www.google.com/maps/place/Karlovarsk%C3%A9+cukr%C3%A1%C5%99stv%C3%AD/@50.0983495,14.3622686,17z/data=!3m1!4b1!4m6!3m5!1s0x470b954e22f2988f:0x1db59f4eebb48e9e!8m2!3d50.0983495!4d14.3622686!16s%2Fg%2F11rghmf53l?hl=cs&entry=ttu"
"Markétina cukrárna","5","3","Za Strahovem 10","Praha 6",,"CZ","https://www.marketinacukrarna.cz/kontakt","+420 775 654 041","Cukrárna","https://www.google.com/maps/place/Mark%C3%A9tina+cukr%C3%A1rna/@50.0842945,14.3792198,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95465fbcf937:0x48bbe16757cfa154!8m2!3d50.0842945!4d14.3792198!16s%2Fg%2F11sfx2sbhk?hl=cs&entry=ttu"
"Kavárna - Cukrárna Elvíra","4.5","176","Francouzská 761/21","Vinohrady",,"CZ","http://www.elviracafe.com/","+420 722 373 396","Kavárna / Čajovna","https://www.google.com/maps/place/Kav%C3%A1rna+-+Cukr%C3%A1rna+Elv%C3%ADra/@50.0734244,14.4411401,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9485d4a1b7b7:0xeb7ec7b3cc959cf6!8m2!3d50.0734244!4d14.4411401!16s%2Fg%2F11g07xy759?hl=cs&entry=ttu"
"Cukrárna ZSMV","3.5","15","Na Pankráci 1623","Praha 4-Nusle",,"CZ","https://www.zsmv.cz/gastro/cukrarna/","+420 974 849 702","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+ZSMV/@50.0551595,14.4354379,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94712981cfd5:0xd8ce98e37dd120a1!8m2!3d50.0551595!4d14.4354379!16s%2Fg%2F11c601jv2w?hl=cs&entry=ttu"
"Ovocná Cukrárna Hana Rašínová","4.7","112","Terronská 582","Praha 6-Bubeneč",,"CZ",,"+420 606 248 887","Cukrárna","https://www.google.com/maps/place/Ovocn%C3%A1+Cukr%C3%A1rna+Hana+Ra%C5%A1%C3%ADnov%C3%A1/@50.1026973,14.3985329,17z/data=!3m1!4b1!4m6!3m5!1s0x4173137ef6d5c33b:0x65f8a3678000a74e!8m2!3d50.1026973!4d14.3985329!16s%2Fg%2F11b7gxd__q?hl=cs&entry=ttu"
"Cukrárna Pankrác","4.1","7","4, Praha","Praha 4",,"CZ",,"+420 974 849 702","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Pankr%C3%A1c/@50.0551563,14.4354303,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94712cade48f:0x931bf45b1bbb388e!8m2!3d50.0551563!4d14.4354303!16s%2Fg%2F11hbq0wy0n?hl=cs&entry=ttu"
"Cukrárna U Palmy","3","22","Jirečkova 17","Praha 7-Holešovice",,"CZ","http://www.upalmy.cz/","+420 233 370 083","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+U+Palmy/@50.0991744,14.4225012,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94c529facbb5:0x45d7ae45598970b3!8m2!3d50.0991744!4d14.4225012!16s%2Fg%2F1tfcm1jr?hl=cs&entry=ttu"
"Smetanová cukrárna s kávou","4.7","68","Opletalova 921/6","Nové Město",,"CZ","http://www.cukrarna.cz/",,"Cukrárna","https://www.google.com/maps/place/Smetanov%C3%A1+cukr%C3%A1rna+s+k%C3%A1vou/@50.0810928,14.4295529,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95e5915b3d09:0x8e60269f3ec4eab1!8m2!3d50.0810928!4d14.4295529!16s%2Fg%2F11t6f_0ybt?hl=cs&entry=ttu"
"Cukrárna Apetit","4.1","314","Revoluční 1634","Petrská čtvrť",,"CZ","https://www.apetitpraha.cz/","+420 222 329 865","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Apetit/@50.090476,14.428017,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94ea7f124eb7:0xe34660284389fa52!8m2!3d50.090476!4d14.428017!16s%2Fg%2F1hc2_8ph8?hl=cs&entry=ttu"
"Cukrárna Sladká Monika","4.8","51","Vlkova 456","Praha 3-Žižkov",,"CZ","https://cukrarnasladkamonika.cz/","+420 222 721 813","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Sladk%C3%A1+Monika/@50.0829552,14.4451072,17z/data=!3m1!4b1!4m6!3m5!1s0x470b949a26e421b1:0xb8fe82b8b037e02!8m2!3d50.0829552!4d14.4451072!16s%2Fg%2F1td1c3v_?hl=cs&entry=ttu"
"Cukrárna Klárka","5","17","Na Spojce 87/8","Praha 10-Vršovice",,"CZ","http://www.cukrarnaklarka.cz/","+420 777 474 999","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Kl%C3%A1rka/@50.0675183,14.456577,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9394d9c64d19:0xec1a43677c2af2c8!8m2!3d50.0675183!4d14.456577!16s%2Fg%2F11v0nb_h_x?hl=cs&entry=ttu"
"Cukrárna Amarilis Vysočany","4.1","353","Pešlova 94/6","Praha 9",,"CZ","http://www.amarilis.cz/","+420 283 923 141","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Amarilis+Vyso%C4%8Dany/@50.1112806,14.4979798,17z/data=!3m1!4b1!4m6!3m5!1s0x470b948ddda8a4a5:0xb0fc205525a6740a!8m2!3d50.1112806!4d14.4979798!16s%2Fg%2F11x9wx_d0?hl=cs&entry=ttu"
"Cukrárna Vanille","4.5","422","Náměstí Míru 342","Vinohrady",,"CZ","http://www.vanille.cz/","+420 777 836 320","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Vanille/@50.074811,14.436817,17z/data=!3m1!4b1!4m6!3m5!1s0x470b948f0ef53855:0x533fb672ceb8f2ee!8m2!3d50.074811!4d14.436817!16s%2Fg%2F11bc7mgn0k?hl=cs&entry=ttu"
"Cukrárna Kamel","4.6","116","Francouzská 42","Vinohrady, Praha 2-Vinohrady-Praha 2",,"CZ","http://www.cukrarnakamel.cz/","+420 608 507 381","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Kamel/@50.0727394,14.4421317,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9485f422faaf:0x8c9daf451ce42b36!8m2!3d50.0727394!4d14.4421317!16s%2Fg%2F11cm_qfbdy?hl=cs&entry=ttu"
"Cukrárna Hájek&Hájková Krč - Modrý Pavilon","4.4","81","Štúrova 1281/10","Praha 4-Krč",,"CZ","http://www.cukrarna-hajek-hajkova.cz/","+420 736 539 864","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+H%C3%A1jek%26H%C3%A1jkov%C3%A1+Kr%C4%8D+-+Modr%C3%BD+Pavilon/@50.023354,14.4517486,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9198bcbbe261:0xd95bd9631cba6a82!8m2!3d50.023354!4d14.4517486!16s%2Fg%2F11rj_jqh35?hl=cs&entry=ttu"
"Cukrárna Delikates","4.4","47","Vinohradská 2266/118","Vinohrady",,"CZ","https://www.facebook.com/profile.php?id=100066665805735","+420 271 734 010","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Delikates/@50.0774632,14.457986,17z/data=!3m1!4b1!4m6!3m5!1s0x470b938ebe8c6c4b:0xf34a4961439b2741!8m2!3d50.0774632!4d14.457986!16s%2Fg%2F11fj_d2zsb?hl=cs&entry=ttu"
"Kavárna a cukrárna SMIS","4.4","137","27, J. Želivského 1860","Praha 3-Žižkov",,"CZ",,"+420 222 585 989","Kavárna / Čajovna","https://www.google.com/maps/place/Kav%C3%A1rna+a+cukr%C3%A1rna+SMIS/@50.0877796,14.4690161,17z/data=!3m1!4b1!4m6!3m5!1s0x470b935db60966c1:0xa05aadda8cb9781a!8m2!3d50.0877796!4d14.4690161!16s%2Fg%2F1tgx0r32?hl=cs&entry=ttu"
"Cukrárna - výrobna","4.5","2","Na Musilech","Praha 4",,"CZ","http://www.cukrarna-vyrobna.cz/jak%20k%20n%C3%A1m.html","+420 261 912 620","Pekařství","https://www.google.com/maps/place/Cukr%C3%A1rna+-+v%C3%BDrobna/@50.0061619,14.4651501,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9173ccb6687d:0xf27e05e53cb5577e!8m2!3d50.0061619!4d14.4651501!16s%2Fg%2F11hzv5m1j8?hl=cs&entry=ttu"
"Zelenkova cukrárna","4.4","163","Nuselská 43","Praha 4-Nusle",,"CZ","http://www.zelenkovacukrarna.cz/","+420 727 927 297","Cukrárna","https://www.google.com/maps/place/Zelenkova+cukr%C3%A1rna/@50.0620185,14.4456506,17z/data=!3m1!4b1!4m6!3m5!1s0x470b959e24652b59:0x3592eea92a8c3962!8m2!3d50.0620185!4d14.4456506!16s%2Fg%2F11j5vq7nz2?hl=cs&entry=ttu"
"DOBRÁ CUKRÁRNA","4.7","89","Náměstí Jiřího z Lobkovic","Praha 3-Vinohrady",,"CZ",,"+420 702 605 988","Zákusková restaurace","https://www.google.com/maps/place/DOBR%C3%81+CUKR%C3%81RNA/@50.0775144,14.4679605,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9365764486a5:0x19a0a90820415aa4!8m2!3d50.0775144!4d14.4679605!16s%2Fg%2F11clv88f_d?hl=cs&entry=ttu"
"Cukrárna Lucie","4.6","212","Koněvova 129","Praha 3-Žižkov",,"CZ","http://www.cukrarnalucie.cz/","+420 222 781 732","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Lucie/@50.0872227,14.454376,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94a1df632a33:0x37713c84420122c7!8m2!3d50.0872227!4d14.454376!16s%2Fg%2F1tm__yp8?hl=cs&entry=ttu"
"Andělská cukrárna","4.3","402","Vlkova 30","Praha 3-Žižkov",,"CZ","http://andelska-cukrarna.com/","+420 721 878 761","Cukrárna","https://www.google.com/maps/place/And%C4%9Blsk%C3%A1+cukr%C3%A1rna/@50.0835097,14.4475408,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95966b33bfff:0xe592251d3b2f2de5!8m2!3d50.0835097!4d14.4475408!16s%2Fg%2F11gl4ly0pf?hl=cs&entry=ttu"
"Cukrárna Charlie","4.6","54","Nuselská 595","Praha 4-Michle",,"CZ","https://cukrarnacharlie.cz/","+420 722 299 821","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Charlie/@50.0593971,14.4494828,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93868aaf28ad:0x9349bc395e320a65!8m2!3d50.0593971!4d14.4494828!16s%2Fg%2F1ptypmkbx?hl=cs&entry=ttu"
"Cukrárna",,"0","Na Zderaze 2","Nové Město",,"CZ",,"+44 7435 920800","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0762946,14.416671,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9519ea5cc931:0xe4e84bcfe7acd1f3!8m2!3d50.0762946!4d14.416671!16s%2Fg%2F11vbg78bk4?hl=cs&entry=ttu"
"Cukrárna",,"0",,"Praha 4",,"CZ",,,,"https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0467429,14.4158652,17z/data=!3m1!4b1!4m6!3m5!1s0x470b941470dcb1e1:0x976e80c22ad5763!8m2!3d50.0467429!4d14.4158652!16s%2Fg%2F11kn71bts0?hl=cs&entry=ttu"
"Učňovská cukrárna & pekárna","3.4","17","Slánská 1706/2","Praha 17-Řepy",,"CZ","http://www.ucnovskacukrarna.cz/",,"Cukrárna","https://www.google.com/maps/place/U%C4%8D%C5%88ovsk%C3%A1+cukr%C3%A1rna+%26+pek%C3%A1rna/@50.0751617,14.3078679,17z/data=!3m1!4b1!4m6!3m5!1s0x470bbf4644ef6771:0x26cd27fa30d78a96!8m2!3d50.0751617!4d14.3078679!16s%2Fg%2F11h769vgqh?hl=cs&entry=ttu"
"U Borůvky","4.9","106","Kyjevská 525","Praha 6-Dejvice",,"CZ","http://www.uboruvky.cz/","+420 606 862 594","Cukrárna","https://www.google.com/maps/place/U+Bor%C5%AFvky/@50.0987404,14.398414,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9523efaacd3f:0x23fac34d22007bc4!8m2!3d50.0987404!4d14.398414!16s%2Fg%2F11gblc18f3?hl=cs&entry=ttu"
"Cukrárna Koko",,"0","Jiránkova 1137","Praha 17",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Cukr%C3%A1rna+Koko/@50.0629429,14.3082933,17z/data=!3m1!4b1!4m6!3m5!1s0x470bbe160f6e3a61:0xa15233a7010c7213!8m2!3d50.0629429!4d14.3082933!16s%2Fg%2F11b6v45mgq?hl=cs&entry=ttu"
"Cukrárny",,"0","288, Valdštejnská","Malá Strana",,"CZ",,,"Kavárna / Čajovna","https://www.google.com/maps/place/Cukr%C3%A1rny/@50.091489,14.4087556,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94e0c1b12f39:0x82a727ac0849f08c!8m2!3d50.091489!4d14.4087556!16s%2Fg%2F11j8ll8sq7?hl=cs&entry=ttu"
"Cukrárna Marta",,"0","U Vinohradské nemocnice 2112","Praha 3-Vinohrady",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Cukr%C3%A1rna+Marta/@50.0765061,14.4750739,17z/data=!3m1!4b1!4m6!3m5!1s0x470b936e7cccc4d1:0x7ecf6ddd22ff081e!8m2!3d50.0765061!4d14.4750739!16s%2Fg%2F11b6vb8690?hl=cs&entry=ttu"
"Designové a luxusní dorty, cukrárna GULJARDO","4.6","75","V Zeleném údolí 1301/9","Praha-Kunratice",,"CZ","https://www.guljardo.com/","+420 776 152 835","Kavárna / Čajovna","https://www.google.com/maps/place/Designov%C3%A9+a+luxusn%C3%AD+dorty,+cukr%C3%A1rna+GULJARDO/@50.0211777,14.465503,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9162f683f3af:0x437a17ba606edc9f!8m2!3d50.0211777!4d14.465503!16s%2Fg%2F11fmx0hcpn?hl=cs&entry=ttu"
"Cukrárna Aleš","4.4","30","15, Makovského 1227","Praha 17",,"CZ","http://www.dortyales.cz/","+420 608 232 233","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Ale%C5%A1/@50.0654051,14.3035426,17z/data=!3m1!4b1!4m6!3m5!1s0x470bbe3fc1cf136f:0xd46f3445fc1d498f!8m2!3d50.0654051!4d14.3035426!16s%2Fg%2F11clt7jmz8?hl=cs&entry=ttu"
"Kavárna a cukrárna Na Neklance 29","4.9","13","Na Neklance 29","Praha 5",,"CZ",,"+420 777 277 502","Kavárna","https://www.google.com/maps/place/Kav%C3%A1rna+a+cukr%C3%A1rna+Na+Neklance+29/@50.0602527,14.3986162,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95911b67afb9:0x84c2f35963e9baa7!8m2!3d50.0602527!4d14.3986162!16s%2Fg%2F11kj8xdj17?hl=cs&entry=ttu"
"Cukrárna-Kavárna","4.3","23","Vídeňská 1958","Praha 4",,"CZ","http://www.ikem.cz/","+420 604 201 693","Kavárna / Čajovna","https://www.google.com/maps/place/Cukr%C3%A1rna-Kav%C3%A1rna/@50.0227903,14.463014,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9162040d65f7:0xe395e2f4025c6dfb!8m2!3d50.0227903!4d14.463014!16s%2Fg%2F11bwpqqx6d?hl=cs&entry=ttu"
"IPPA Café Břevnov","4","122","134, Bělohorská 724","Praha 6",,"CZ","https://ippacafe.cz/","+420 774 465 705","Cukrárna","https://www.google.com/maps/place/IPPA+Caf%C3%A9+B%C5%99evnov/@50.0839141,14.3634034,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9573e5804761:0x2dfdf766af6f12b5!8m2!3d50.0839141!4d14.3634034!16s%2Fg%2F1tct7fl3?hl=cs&entry=ttu"
"Zelenkova cukrárna","4.4","134","Koněvova 1703/132","Praha 3",,"CZ","http://www.zelenkovacukrarna.cz/","+420 702 073 544","Cukrárna","https://www.google.com/maps/place/Zelenkova+cukr%C3%A1rna/@50.090799,14.4712719,17z/data=!3m1!4b1!4m6!3m5!1s0x470b935b8ef75fc5:0x88d12f7fa06cf003!8m2!3d50.090799!4d14.4712719!16s%2Fg%2F11b6j7pn2x?hl=cs&entry=ttu"
"Erhartova cukrárna - Vinohrady","4.3","466","Vinohradská 2022/125","Praha 3-Vinohrady",,"CZ","http://www.erhartovacukrarna.cz/","+420 273 130 574","Cukrárna","https://www.google.com/maps/place/Erhartova+cukr%C3%A1rna+-+Vinohrady/@50.0777001,14.4563474,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9362bf94480b:0xbb3fd20b3a71508f!8m2!3d50.0777001!4d14.4563474!16s%2Fg%2F1pwftwshr?hl=cs&entry=ttu"
"Amentes","4.2","26","Rajská Zahrada, Cíglerova 1139","Praha 14-Černý Most",,"CZ",,"+420 774 217 644","Cukrárna","https://www.google.com/maps/place/Amentes/@50.1057266,14.5582635,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed47fc9819d7:0x8f758417eb3c6488!8m2!3d50.1057266!4d14.5582635!16s%2Fg%2F11c5bh5n80?hl=cs&entry=ttu"
"Cukrárna Mučenka","4.8","327","Kladenská 421","Praha 6",,"CZ","http://www.mucenka.cz/","+420 607 010 723","Kavárna / Čajovna","https://www.google.com/maps/place/Cukr%C3%A1rna+Mu%C4%8Denka/@50.0973845,14.3650844,17z/data=!3m1!4b1!4m6!3m5!1s0x470b956837095107:0x6f76f6533df927be!8m2!3d50.0973845!4d14.3650844!16s%2Fg%2F11bywkxr8t?hl=cs&entry=ttu"
"Cukrárna DonPablo","3.7","26","Libušská 395/229","Praha 4",,"CZ","http://www.donpablo.cz/","+420 731 154 000","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+DonPablo/@50.0141201,14.4567641,17z/data=!3m1!4b1!4m6!3m5!1s0x470b912ce56e7f67:0x525868091195f4d!8m2!3d50.0141201!4d14.4567641!16s%2Fg%2F11h0mn_dpv?hl=cs&entry=ttu"
"Erhartova cukrárna - Vodičkova","4.6","73","Vodičkova 28","Nové Město",,"CZ","http://www.erhartovacukrarna.cz/","+420 777 227 248","Cukrárna","https://www.google.com/maps/place/Erhartova+cukr%C3%A1rna+-+Vodi%C4%8Dkova/@50.080525,14.4242719,17z/data=!3m1!4b1!4m6!3m5!1s0x470b958dff94aa91:0xf86d126f76370a11!8m2!3d50.080525!4d14.4242719!16s%2Fg%2F11fk4q_qmt?hl=cs&entry=ttu"
"Cukrárna Pralinka","4.8","99","Vršovická 866/3","Praha 10-Vršovice",,"CZ","http://www.cukrarnavrsovice.cz/","+420 777 058 005","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Pralinka/@50.0661853,14.4493461,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93800ff6416f:0xbe5de33a67b5abbf!8m2!3d50.0661853!4d14.4493461!16s%2Fg%2F1tmpcn89?hl=cs&entry=ttu"
"Cukrárna a lahůdky IVA","4.8","16","23, U První baterie 1077","Praha 6-Břevnov",,"CZ",,"+420 723 504 913","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+a+lah%C5%AFdky+IVA/@50.0897278,14.3689053,17z/data=!3m1!4b1!4m6!3m5!1s0x470b956da982c5a3:0x2199fd40201d7da5!8m2!3d50.0897278!4d14.3689053!16s%2Fg%2F11dx93rgqq?hl=cs&entry=ttu"
"Cukrářství Viktoria - cukrárna Písnice","4.6","262","2, V Zákopech 341","Praha 4-Písnice",,"CZ","http://www.cukrarstvi-viktoria.cz/","+420 605 464 092","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1%C5%99stv%C3%AD+Viktoria+-+cukr%C3%A1rna+P%C3%ADsnice/@49.9960413,14.4678117,17z/data=!3m1!4b1!4m6!3m5!1s0x470b91098f5045cd:0xd4f8569f93229fbc!8m2!3d49.9960413!4d14.4678117!16s%2Fg%2F1tkl20p0?hl=cs&entry=ttu"
"Dorty Domů","3.9","70","Jeremenkova 920","Praha 4-Podolí",,"CZ","http://www.dortydomu.cz/","+420 724 083 809","Cukrárna","https://www.google.com/maps/place/Dorty+Dom%C5%AF/@50.0466832,14.4160567,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9414771e89fb:0x8f498826167dd5af!8m2!3d50.0466832!4d14.4160567!16s%2Fg%2F11g6bjbsgb?hl=cs&entry=ttu"
"Pekárna Cukrárna Bar","5","1","Pod Marjánkou 1397","Praha 6-Břevnov",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Pek%C3%A1rna+Cukr%C3%A1rna+Bar/@50.0851719,14.3784917,17z/data=!3m1!4b1!4m6!3m5!1s0x470b950e0cfedd93:0xd7525850997a7bd1!8m2!3d50.0851719!4d14.3784917!16s%2Fg%2F11f5tzbktm?hl=cs&entry=ttu"
"CUKRÁŘSTVÍ U MICHALA","4.5","91","Podolská 29","Praha 4",,"CZ",,"+420 241 430 260","Cukrárna","https://www.google.com/maps/place/CUKR%C3%81%C5%98STV%C3%8D+U+MICHALA/@50.0590798,14.4207628,17z/data=!3m1!4b1!4m6!3m5!1s0x470b946896894feb:0x420a1056e26808c4!8m2!3d50.0590798!4d14.4207628!16s%2Fg%2F1tz74prx?hl=cs&entry=ttu"
"Cukrárna Markéta","4.4","448","Radimova 2322/40","Praha 6",,"CZ","http://www.cukrarnamarketa.cz/","+420 770 600 904","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Mark%C3%A9ta/@50.0876462,14.3656466,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95720bd2b1b3:0x499cb27478fa3106!8m2!3d50.0876462!4d14.3656466!16s%2Fg%2F11clvqpjn8?hl=cs&entry=ttu"
"Cukrárna Amarilis Na Vackově","4.4","16","Olgy Havlové 2913/56","Praha 3",,"CZ","http://www.amarilis.cz/","+420 222 514 467","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Amarilis+Na+Vackov%C4%9B/@50.0877188,14.4794274,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93bcd44fe329:0x8edb4dbaf7f9948!8m2!3d50.0877188!4d14.4794274!16s%2Fg%2F11rdbjdpsp?hl=cs&entry=ttu"
"Cukrárna-Kavárna Vanilka","4.5","32","Starostrašnická 960","Strašnice",,"CZ",,,"Kavárna / Čajovna","https://www.google.com/maps/place/Cukr%C3%A1rna-Kav%C3%A1rna+Vanilka/@50.0735282,14.4907267,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9311951da30d:0x5ed0f98ffab7bae0!8m2!3d50.0735282!4d14.4907267!16s%2Fg%2F11csdb6lf4?hl=cs&entry=ttu"
"Cukrárna Myšák","4.3","2168","710/31, Vodičkova","Nové Město",,"CZ","https://www.mysak.ambi.cz/","+420 730 589 249","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+My%C5%A1%C3%A1k/@50.0812557,14.4247099,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94ed704d3d61:0x524b4b78b2aa77d3!8m2!3d50.0812557!4d14.4247099!16s%2Fg%2F1hc3j6chw?hl=cs&entry=ttu"
"Café & Cukrárna","4.5","106","Koněvova 1519/165","Praha 3",,"CZ","http://www.cafeacukrarna.cz/","+420 722 553 609","Cukrárna","https://www.google.com/maps/place/Caf%C3%A9+%26+Cukr%C3%A1rna/@50.0923302,14.480086,17z/data=!3m1!4b1!4m6!3m5!1s0x470b934505e62555:0x635e0515b93824fe!8m2!3d50.0923302!4d14.480086!16s%2Fg%2F11b740k858?hl=cs&entry=ttu"
"Sladká dílna - Petřiny","4.7","210","Na Petřinách 310/82","Praha 6",,"CZ","http://www.sladkadilna.cz/","+420 775 033 564","Cukrárna","https://www.google.com/maps/place/Sladk%C3%A1+d%C3%ADlna+-+Pet%C5%99iny/@50.0878416,14.342137,17z/data=!3m1!4b1!4m6!3m5!1s0x470bbf3b05dc71eb:0x7bd17b667c0157ad!8m2!3d50.0878416!4d14.342137!16s%2Fg%2F11pgsvc0fn?hl=cs&entry=ttu"
"cukrárna u Berušky Praha 9","3.3","80","Staroklánovická 470","Praha 9",,"CZ","http://www.cukrarnauberusky.cz/","+420 774 889 609","Cukrárna","https://www.google.com/maps/place/cukr%C3%A1rna+u+Beru%C5%A1ky+Praha+9/@50.0769601,14.6601963,17z/data=!3m1!4b1!4m6!3m5!1s0x470b8cb5ff368659:0x25c4344a7fef1655!8m2!3d50.0769601!4d14.6601963!16s%2Fg%2F12hyszl1t?hl=cs&entry=ttu"
"Cukrárna Saint Tropez","4.3","760","Karmelitská 20","Malá Strana",,"CZ","http://cukrarnatropez.cz/","+420 603 333 338","Francouzská cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Saint+Tropez/@50.0866101,14.4041001,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94f254ad6f95:0x6e6e786730358840!8m2!3d50.0866101!4d14.4041001!16s%2Fg%2F1tkjjxt0?hl=cs&entry=ttu"
"Cukrárna na Blatově","4.4","53","Račiněveská 2444","Praha 21",,"CZ",,"+420 737 623 611","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+na+Blatov%C4%9B/@50.0774653,14.6494883,17z/data=!3m1!4b1!4m6!3m5!1s0x470b8d92c308e2a9:0xa09a7cc1dae66b3f!8m2!3d50.0774653!4d14.6494883!16s%2Fg%2F11fjwzqb22?hl=cs&entry=ttu"
"Svatováclavská cukrárna","4.4","194","Václavská pasáž","Nové Město",,"CZ",,"+420 224 916 774","Cukrárna","https://www.google.com/maps/place/Svatov%C3%A1clavsk%C3%A1+cukr%C3%A1rna/@50.0745455,14.4186454,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94f440e85205:0x3cc92d5e9d94d4ca!8m2!3d50.0745455!4d14.4186454!16s%2Fg%2F11c61j713m?hl=cs&entry=ttu"
"Cukrárna Lilly","3.9","203","Litevská 1273","Praha 10-Vršovice",,"CZ","http://www.cukrarnalilly.cz/","+420 774 201 040","Francouzská cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Lilly/@50.0715407,14.4773848,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9372f93708a3:0x2d4c718162f038be!8m2!3d50.0715407!4d14.4773848!16s%2Fg%2F1tf302_0?hl=cs&entry=ttu"
"Cukrárna Tea","4.2","93","U Hostavického potoka 830","Praha 14",,"CZ",,"+420 605 218 447","Kavárna / Čajovna","https://www.google.com/maps/place/Cukr%C3%A1rna+Tea/@50.082106,14.5600112,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93771750867d:0xfcc2164132609e3d!8m2!3d50.082106!4d14.5600112!16s%2Fg%2F11j8hhr8_f?hl=cs&entry=ttu"
"Cukrárna No. 3","4.4","29","K Borovíčku 104/1","Praha-Kunratice",,"CZ","https://cukrarnano3.business.site/","+420 604 265 611","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+No.+3/@50.013972,14.485144,17z/data=!3m1!4b1!4m6!3m5!1s0x470b91536864d4ef:0x49482e5543e1e121!8m2!3d50.013972!4d14.485144!16s%2Fg%2F11g0kgstpr?hl=cs&entry=ttu"
